
  0%|                                                                                                                                                                                                                                                          | 0/9000 [00:00<?, ?it/s]
0.0004
time for getitem:  0.0012564659118652344
time for getitem:  0.0004189014434814453
time for getitem:  0.0015761852264404297
time for getitem:  0.0004818439483642578
time for getitem:  0.0006930828094482422
time for getitem:  0.0012583732604980469
time for getitem:  0.0004553794860839844
time for getitem:  0.0006060600280761719
time for getitem:  0.00044608116149902344
time for getitem:  0.0005452632904052734
time for getitem:  0.000797271728515625
time for getitem:  0.0006821155548095703
time for getitem:  0.0006165504455566406
time for getitem:  0.0005786418914794922
time for getitem:  0.0007143020629882812
time for getitem:  0.001024484634399414
time for getitem:  0.0012125968933105469
time for getitem:  0.0008347034454345703
time for getitem:  0.0006928443908691406
time for getitem:  0.0005600452423095703
time for getitem:  0.0006818771362304688
time for getitem:  0.0008845329284667969
time for getitem:  0.0006241798400878906
time for getitem:  0.0009503364562988281
time for getitem:  0.0008385181427001953
time for getitem:  0.0005714893341064453
time for getitem:  0.001348257064819336
time for getitem:  0.0006604194641113281
time for getitem:  0.0007510185241699219
time for getitem:  0.0003921985626220703
time for getitem:  0.0007753372192382812
time for getitem:  0.0007636547088623047
time for getitem:  0.0004260540008544922
time for getitem:  0.0006983280181884766
time for getitem:  0.0007457733154296875
time for getitem:  0.0004596710205078125
time for getitem:  0.0008358955383300781
time for getitem:  0.0010836124420166016
time for getitem:  0.0006415843963623047
time for getitem:  0.0007350444793701172
time for getitem:  0.0007932186126708984
time for getitem:  0.0006198883056640625
time for getitem:  0.000782012939453125
time for getitem:  0.000560760498046875
time for getitem:  0.0007672309875488281
time for getitem:  0.0011146068572998047
time for getitem:  0.0007467269897460938
time for getitem:  0.0006906986236572266
time for getitem:  0.0010044574737548828
time for getitem:  0.0006041526794433594
time for getitem:  0.0008640289306640625
time for getitem:  0.0007271766662597656
time for getitem:  0.0006327629089355469
time for getitem:  0.00034809112548828125
time for getitem:  0.0006306171417236328
time for getitem:  0.0006282329559326172
time for getitem:  0.0008313655853271484
time for getitem:  0.00043129920959472656
time for getitem:  0.00038313865661621094
time for getitem:  0.0007429122924804688
time for getitem:  0.0007567405700683594
time for getitem:  0.0006716251373291016
time for getitem:  0.0005199909210205078
time for getitem:  0.0007333755493164062
time for getitem:  0.0005099773406982422
time for getitem:  0.0005469322204589844
time for getitem:  0.0007708072662353516
time for getitem:  0.00042176246643066406
time for getitem:  0.0006957054138183594
time for getitem:  0.0005664825439453125
time for getitem:  0.0005948543548583984
time for getitem:  0.0006935596466064453
time for getitem:  0.00037026405334472656
time for getitem:  0.001678466796875
time for getitem:  0.0007781982421875
time for getitem:  0.0004315376281738281
time for getitem:  0.0005974769592285156
time for getitem:  0.0005404949188232422
time for getitem:  0.0011758804321289062
time for getitem:  0.00041103363037109375
time for getitem:  0.0008683204650878906
time for getitem:  0.000652313232421875
time for getitem:  0.0007145404815673828
time for getitem:  0.00041604042053222656
time for getitem:  0.0005490779876708984
time for getitem:  0.0005631446838378906
time for getitem:  0.0007624626159667969
time for getitem:  0.000522613525390625
time for getitem:  0.0007500648498535156
time for getitem:  0.0007779598236083984
time for getitem:  0.00041174888610839844
time for getitem:  0.00032711029052734375
time for getitem:  0.000522613525390625
time for getitem:  0.0006940364837646484
time for getitem:  0.0004019737243652344
time for getitem:  0.0007445812225341797
time for getitem:  0.0006978511810302734
time for getitem:  0.0006837844848632812
time for getitem:  0.0006737709045410156
time for getitem:  0.0006961822509765625
time for getitem:  0.0009980201721191406
time for getitem:  0.0005438327789306641
time for getitem:  0.00084686279296875
time for getitem:  0.0005776882171630859
time for getitem:  0.0005533695220947266
time for getitem:  0.0007045269012451172
time for getitem:  0.0005593299865722656
time for getitem:  0.0010235309600830078
time for getitem:  0.0005230903625488281
time for getitem:  0.0007252693176269531
time for getitem:  0.0007076263427734375
time for getitem:  0.0006606578826904297
time for getitem:  0.0008115768432617188
time for getitem:  0.001569986343383789
time for getitem:  0.0007102489471435547
time for getitem:  0.0003809928894042969
